,carat,cut,color,clarity,depth,table,volume,price_bin,price
0,0.23,Ideal,E,SI2,61.5,55.0,38.20203,0.0,326.0
1,0.21,Premium,E,SI1,59.8,61.0,34.505856,0.0,326.0
2,0.23,Good,E,VS1,56.9,65.0,38.076885,0.0,327.0
3,0.29,Premium,I,VS2,62.4,58.0,46.72458,0.0,334.0
4,0.31,Good,J,SI2,63.3,58.0,51.917249999999996,0.0,335.0
5,0.24,Very Good,J,VVS2,62.8,57.0,38.693951999999996,0.0,336
6,0.24,Very Good,I,VVS1,62.3,57.0,38.830870000000004,0.0,336.0
7,0.26,Very Good,H,SI1,61.9,55.0,42.321081,0.0,337.0
8,0.22,Fair,E,VS2,65.1,61.0,36.425214000000004,0.0,337.0
9,0.23,Very Good,H,VS1,59.4,61.0,38.718,0.0,338.0
10,0.3,Good,J,SI1,64.0,55.0,49.6587,0.0,339.0
11,0.23,Ideal,J,VS1,62.8,56.0,37.70442,0.0,340.0
12,0.22,Premium,F,SI1,60.4,61.0,34.715136,0.0,342.0
13,0.31,Ideal,J,SI2,62.2,54.0,51.515744999999995,0.0,344.0
14,0.2,Premium,E,SI2,60.2,62.0,32.262375,0.0,345.0
15,0.32,Premium,E,I1,60.9,58.0,51.883728000000005,0.0,345.0
16,0.3,Ideal,I,SI2,62.0,54.0,50.130472,0.0,348.0
17,0.3,Good,J,SI1,63.4,54.0,48.99609000000001,0.0,351.0
18,0.3,Good,J,SI1,63.8,56.0,48.833658,0.0,351.0
19,0.3,Very Good,J,SI1,62.7,59.0,47.818022,0.0,351.0
20,0.3,Good,I,SI2,63.3,56.0,49.64177999999999,0.0,351.0
21,0.23,Very Good,E,VS2,63.8,55.0,37.42816,0.0,352.0
22,0.23,Very Good,H,VS1,61.0,57.0,37.601784,0.0,353.0
23,0.31,Very Good,J,SI1,59.4,62.0,50.952974,0.0,353.0
24,0.31,Very Good,J,SI1,58.1,62.0,51.403212,0.0,353.0
25,0.23,Very Good,G,VVS2,60.4,58.0,38.366477,0.0,354.0
26,0.24,Premium,I,VS1,62.5,57.0,38.635246,0.0,355.0
27,0.3,Very Good,J,VS2,62.2,57.0,49.13868,0.0,357.0
28,0.23,Very Good,D,VS2,60.5,61.0,37.73088,0.0,357.0
29,0.23,Very Good,F,VS1,60.9,57.0,38.236968000000005,0.0,357.0
30,0.23,Very Good,F,VS1,60.0,57.0,38.8492,0.0,402.0
31,0.23,Very Good,F,VS1,59.8,57.0,39.693808,0.0,402.0
32,0.23,Very Good,E,VS1,60.7,59.0,38.525674,0.0,402.0
33,0.23,Very Good,E,VS1,59.5,58.0,39.07343999999999,0.0,402.0
34,0.23,Very Good,D,VS1,61.9,58.0,37.876608,0.0,402.0
35,0.23,Good,F,VS1,58.2,59.0,39.258576,0.0,402.0
36,0.23,Good,E,VS1,64.1,59.0,36.27393,0.0,402.0
37,0.31,Good,H,SI1,64.0,54.0,50.847224999999995,0.0,402.0
38,0.26,Very Good,D,VS2,60.8,59.0,43.295616,0.0,403.0
39,0.33,Ideal,I,SI2,61.8,55.0,56.294722,0.0,403.0
40,0.33,Ideal,I,SI2,61.2,56.0,55.563750000000006,0.0,403.0
41,0.33,Ideal,J,SI1,61.1,56.0,56.385419999999996,0.0,403.0
42,0.26,Good,D,VS2,65.2,56.0,41.863878,0.0,403.0
43,0.26,Good,D,VS1,58.4,63.0,43.703376000000006,0.0,403.0
44,0.32,Good,H,SI2,63.1,56.0,52.155950000000004,0.0,403.0
45,0.29,Premium,F,SI1,62.4,58.0,47.865359999999995,0.0,403.0
46,0.32,Very Good,H,SI2,61.8,55.0,52.105169999999994,0.0,403.0
47,0.32,Good,H,SI2,63.8,56.0,53.280072000000004,0.0,403.0
48,0.25,Very Good,E,VS2,63.3,60.0,40.9448,0.0,404.0
49,0.29,Very Good,H,SI2,60.7,60.0,49.954344000000006,0.0,404.0
50,0.24,Very Good,F,SI1,60.9,61.0,39.691469999999995,0.0,404.0
51,0.23,Ideal,G,VS1,61.9,54.0,37.877340000000004,0.0,404.0
52,0.32,Ideal,I,SI1,60.9,55.0,54.225920000000016,0.0,404.0
53,0.22,Premium,E,VS2,61.6,58.0,36.843357000000005,0.0,404.0
54,0.22,Premium,D,VS2,59.3,62.0,35.044548,0.0,404.0
55,0.3,Ideal,I,SI2,61.0,59.0,48.967969999999994,0.0,405.0
56,0.3,Premium,J,SI2,59.3,61.0,50.64287399999999,0.0,405.0
57,0.3,Very Good,I,SI1,62.6,57.0,48.5673,0.0,405.0
58,0.3,Very Good,I,SI1,63.0,57.0,50.10681600000001,0.0,405.0
59,0.3,Good,I,SI1,63.2,55.0,49.22775000000001,0.0,405.0
60,0.35,Ideal,I,VS1,60.9,57.0,57.931307999999994,0.0,552.0
61,0.3,Premium,D,SI1,62.6,59.0,48.04518600000001,0.0,552.0
62,0.3,Ideal,D,SI1,62.5,57.0,49.853232000000006,0.0,552.0
63,0.3,Ideal,D,SI1,62.1,56.0,49.898920000000004,0.0,552.0
64,0.42,Premium,I,SI2,61.5,59.0,68.480192,0.0,552.0
65,0.28,Ideal,G,VVS2,61.4,56.0,45.619044,0.0,553.0
66,0.32,Ideal,I,VVS1,62.0,55.3,52.97237399999999,0.0,553.0
67,0.31,Very Good,G,SI1,63.3,57.0,50.82987,0.0,553.0
68,0.31,Premium,G,SI1,61.8,58.0,50.362559999999995,0.0,553.0
